date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-11-07,90.0,90.1,89.77,89.28,319831.03,-0.23,-0.26,90.032,89.107,89.667,503526.39,553962.1,509092.61,0.3
2019-11-08,90.49,90.55,89.17,89.17,436274.88,-0.6,-0.67,89.858,89.224,89.63,460593.31,484670.05,500882.57,0.4
2019-11-11,88.5,88.59,88.21,87.9,442562.16,-0.96,-1.08,89.442,89.181,89.518,447964.61,463823.1,491488.53,0.41
2019-11-12,88.39,88.55,88.22,87.85,395453.62,0.01,0.01,89.074,89.183,89.419,396085.42,460212.69,493717.51,0.37
2019-11-13,87.97,88.34,88.0,87.53,380871.62,-0.22,-0.25,88.674,89.188,89.29,394998.66,454648.19,487807.24,0.35
2019-11-14,88.48,88.49,88.03,87.8,323509.97,0.03,0.03,88.326,89.179,89.106,395734.45,449630.42,473011.48,0.3
2019-11-15,87.81,88.25,87.9,87.7,364026.88,-0.13,-0.15,88.072,88.965,89.013,381284.85,420939.08,461667.18,0.34
2019-11-18,87.88,88.98,88.71,87.68,344810.62,0.81,0.92,88.172,88.807,88.945,361734.54,404849.58,460862.73,0.32
2019-11-19,88.3,89.1,88.89,88.22,302021.25,0.18,0.2,88.306,88.69,88.875,343048.07,369566.74,460424.36,0.28
2019-11-20,88.58,88.8,88.05,87.93,332290.91,-0.84,-0.94,88.316,88.495,88.803,333331.93,364165.29,461099.02,0.31
2019-11-21,87.72,87.75,86.34,86.01,757381.62,-1.71,-1.94,87.978,88.152,88.63,420106.26,407920.35,480941.23,0.7
2019-11-22,86.42,86.95,84.89,84.68,747463.81,-1.45,-1.68,87.376,87.724,88.474,496793.64,439039.25,461854.65,0.69
2019-11-25,85.1,85.57,85.5,84.28,546527.25,0.61,0.72,86.734,87.453,88.317,537136.97,449435.76,456629.43,0.5
2019-11-26,86.0,86.02,85.4,84.97,509282.56,-0.1,-0.12,86.036,87.171,88.177,578589.23,460818.65,460515.67,0.47
2019-11-27,85.36,85.36,84.91,84.5,394256.91,-0.49,-0.57,85.408,86.862,88.025,590982.43,462157.18,458402.68,0.36
2019-11-28,85.0,85.16,84.4,84.23,358095.12,-0.51,-0.6,85.02,86.499,87.839,511125.13,465615.69,457623.06,0.33
2019-11-29,84.39,84.74,83.62,82.69,570944.12,-0.78,-0.92,84.766,86.071,87.518,475821.19,486307.42,453623.25,0.53
2019-12-02,83.69,83.98,83.29,83.01,386007.56,-0.33,-0.4,84.324,85.529,87.168,443717.25,490427.11,447638.34,0.36
2019-12-03,83.18,84.28,84.27,82.79,394270.25,0.98,1.18,84.098,85.067,86.879,420714.79,499652.01,434609.38,0.36
2019-12-04,83.6,84.13,84.07,83.37,262024.47,-0.2,-0.24,83.93,84.669,86.582,394268.3,492625.37,428395.33,0.24
2019-12-05,84.51,85.0,84.67,84.08,342534.69,0.6,0.71,83.984,84.502,86.327,391156.22,451140.67,429530.51,0.32
2019-12-06,84.9,84.95,84.74,84.33,272110.03,0.07,0.08,84.208,84.487,86.106,331389.4,403605.3,421322.27,0.25
2019-12-09,84.76,84.89,83.65,83.34,460460.41,-1.09,-1.29,84.28,84.302,85.878,346279.97,394998.61,422217.18,0.43
2019-12-10,83.51,83.88,83.59,83.3,295540.56,-0.06,-0.07,84.144,84.121,85.646,326534.03,373624.41,417221.53,0.27
2019-12-11,83.8,84.19,84.04,83.4,367933.22,0.45,0.54,84.138,84.034,85.448,347715.78,370992.04,416574.61,0.34
2019-12-12,84.43,84.64,84.04,84.0,366466.47,0.0,0.0,84.012,83.998,85.249,352502.14,371829.18,418722.44,0.34
2019-12-13,85.18,86.77,86.77,85.08,774732.88,2.73,3.25,84.418,84.313,85.192,453026.71,392208.05,439257.74,0.72
2019-12-16,85.6,85.85,85.64,84.9,779673.25,-1.13,-1.3,84.816,84.548,85.039,516869.28,431574.62,461000.87,0.72
